N059.37.49.390 E011.40.33.870 N059.41.06.911 E011.56.44.830
N059.41.06.911 E011.56.44.830 N059.44.44.200 E011.58.41.340
N059.44.44.200 E011.58.41.340 N059.50.29.980 E011.50.56.840
N059.50.29.980 E011.50.56.840 N059.54.14.462 E011.58.24.359
N059.54.14.462 E011.58.24.359 N059.53.36.381 E012.10.23.610
N059.53.36.381 E012.10.23.610 N059.27.48.240 E013.15.11.520
N059.27.48.240 E013.15.11.520 N059.18.16.200 E013.06.05.760
N059.18.16.200 E013.06.05.760 N059.10.32.160 E013.24.45.360
N059.10.32.160 E013.24.45.360 N058.32.30.120 E014.22.16.680
N058.32.30.120 E014.22.16.680 N058.28.17.760 E014.12.07.920
N058.28.17.760 E014.12.07.920 N058.22.49.800 E014.09.38.160
N058.22.49.800 E014.09.38.160 N058.16.22.800 E014.06.41.400
N058.16.22.800 E014.06.41.400 N058.08.36.600 E014.05.42.000
N058.08.36.600 E014.05.42.000 N058.01.12.720 E013.34.49.440
N058.01.12.720 E013.34.49.440 N057.19.16.320 E013.21.45.360
N057.19.16.320 E013.21.45.360 N057.18.21.240 E013.25.15.240
N057.18.21.240 E013.25.15.240 N057.15.18.360 E014.03.42.840
N057.15.18.360 E014.03.42.840 N057.08.02.040 E014.22.27.480
N057.08.02.040 E014.22.27.480 N057.04.18.120 E014.19.12.000
N057.04.18.120 E014.19.12.000 N056.30.55.800 E014.31.30.360
N056.30.55.800 E014.31.30.360 N056.24.43.200 E015.03.56.880
N056.24.43.200 E015.03.56.880 N056.22.26.760 E015.04.13.440
N056.22.26.760 E015.04.13.440 N056.12.36.000 E015.04.24.240
N056.12.36.000 E015.04.24.240 N056.12.05.760 E015.22.31.800
N056.12.05.760 E015.22.31.800 N056.17.04.560 E016.00.07.560
N056.17.04.560 E016.00.07.560 N056.21.42.120 E016.12.04.680
N056.21.42.120 E016.12.04.680 N056.31.12.000 E016.27.42.840
N056.31.12.000 E016.27.42.840 N057.04.14.880 E017.28.15.960
N057.04.14.880 E017.28.15.960 N057.11.43.800 E018.20.01.680
N057.11.43.800 E018.20.01.680 N057.12.15.480 E018.21.51.480
N057.12.15.480 E018.21.51.480 N057.16.02.820 E019.59.21.012
N057.16.02.820 E019.59.21.012 N057.00.00.000 E019.50.00.000
N057.00.00.000 E019.50.00.000 N056.20.43.001 E018.30.23.001
N056.20.43.001 E018.30.23.001 N056.05.43.001 E018.01.07.000
N056.05.43.001 E018.01.07.000 N055.51.00.000 E017.33.00.000
N055.51.00.000 E017.33.00.000 N054.55.00.002 E015.52.00.002
N054.55.00.002 E015.52.00.002 N054.55.00.002 E015.08.07.001
N054.55.00.002 E015.08.07.001 N054.55.00.002 E014.21.27.000
N054.55.00.002 E014.21.27.000 N054.55.00.002 E012.51.00.000
N054.55.00.002 E012.51.00.000 N055.20.12.002 E012.38.26.999
N055.20.12.002 E012.38.26.999 N055.25.08.480 E012.36.24.812
N055.25.08.480 E012.36.24.812 N055.29.44.729 E012.42.53.151
N055.29.44.729 E012.42.53.151 N055.32.57.110 E012.44.28.450
N055.32.57.110 E012.44.28.450 N055.36.17.630 E012.52.47.201
N055.36.17.630 E012.52.47.201 N055.38.28.000 E012.53.56.001
N055.38.28.000 E012.53.56.001 N055.49.49.710 E012.42.31.421
N055.49.49.710 E012.42.31.421 N055.52.11.590 E012.41.41.950
N055.52.11.590 E012.41.41.950 N055.53.29.001 E012.40.42.000
N055.53.29.001 E012.40.42.000 N055.55.52.569 E012.38.28.112
N055.55.52.569 E012.38.28.112 N055.58.52.000 E012.39.06.999
N055.58.52.000 E012.39.06.999 N056.01.58.001 E012.39.24.999
N056.01.58.001 E012.39.24.999 N056.03.31.000 E012.38.26.002
N056.03.31.000 E012.38.26.002 N056.09.51.002 E012.26.24.000
N056.09.51.002 E012.26.24.000 N056.12.53.000 E012.22.05.002
N056.12.53.000 E012.22.05.002 N058.30.00.000 E010.30.00.000
N058.30.00.000 E010.30.00.000 N058.45.40.000 E010.35.32.000
N058.45.40.000 E010.35.32.000 N058.53.32.000 E010.38.20.001
N058.53.32.000 E010.38.20.001 N058.59.00.000 E011.07.00.002
N058.59.00.000 E011.07.00.002 N059.01.26.102 E011.09.13.310
N059.01.26.102 E011.09.13.310 N059.05.00.000 E011.20.00.000
N059.05.00.000 E011.20.00.000 N059.01.22.340 E011.23.05.230
N059.01.22.340 E011.23.05.230 N058.54.00.000 E011.26.00.000
N058.54.00.000 E011.26.00.000 N058.52.00.002 E011.32.00.000
N058.52.00.002 E011.32.00.000 N058.56.48.070 E011.43.48.051
N058.56.48.070 E011.43.48.051 N059.13.37.550 E011.50.35.859
N059.13.37.550 E011.50.35.859 N059.37.49.390 E011.40.33.870
