N069.03.36.000 E020.32.55.000 N068.45.56.002 E021.22.47.000
N068.45.56.002 E021.22.47.000 N068.28.16.320 E022.08.05.381
N068.28.16.320 E022.08.05.381 N068.22.45.390 E022.49.39.029
N068.22.45.390 E022.49.39.029 N068.14.21.592 E023.08.52.001
N068.14.21.592 E023.08.52.001 N068.07.21.749 E023.09.32.220
N068.07.21.749 E023.09.32.220 N068.08.50.662 E023.18.15.092
N068.08.50.662 E023.18.15.092 N067.56.44.589 E023.39.15.322
N067.56.44.589 E023.39.15.322 N067.52.03.051 E023.29.52.232
N067.52.03.051 E023.29.52.232 N067.28.05.729 E023.26.31.139
N067.28.05.729 E023.26.31.139 N067.25.27.671 E023.45.57.521
N067.25.27.671 E023.45.57.521 N067.17.28.562 E023.45.03.899
N067.17.28.562 E023.45.03.899 N067.10.04.030 E023.35.14.000
N067.10.04.030 E023.35.14.000 N066.48.34.892 E024.00.28.952
N066.48.34.892 E024.00.28.952 N066.26.11.411 E023.38.21.689
N066.26.11.411 E023.38.21.689 N066.11.47.051 E023.45.17.309
N066.11.47.051 E023.45.17.309 N066.09.33.689 E023.54.26.979
N066.09.33.689 E023.54.26.979 N066.05.25.001 E023.56.08.999
N066.05.25.001 E023.56.08.999 N065.31.48.000 E024.08.24.000
N065.31.48.000 E024.08.24.000 N064.41.00.000 E022.55.00.002
N064.41.00.000 E022.55.00.002 N063.37.00.002 E021.30.00.000
N063.37.00.002 E021.30.00.000 N063.28.30.000 E020.40.00.002
N063.28.30.000 E020.40.00.002 N063.10.00.002 E020.10.00.002
N063.10.00.002 E020.10.00.002 N061.40.00.002 E019.30.00.000
N061.40.00.002 E019.30.00.000 N061.00.00.000 E019.19.05.002
N061.00.00.000 E019.19.05.002 N060.18.02.999 E019.07.56.000
N060.18.02.999 E019.07.56.000 N060.11.30.002 E019.05.12.002
N060.11.30.002 E019.05.12.002 N059.33.46.001 E019.58.59.002
N059.33.46.001 E019.58.59.002 N059.15.24.002 E020.32.39.002
N059.15.24.002 E020.32.39.002 N059.00.00.000 E021.00.00.000
N059.00.00.000 E021.00.00.000 N058.24.48.000 E020.38.34.001
N058.24.48.000 E020.38.34.001 N058.18.16.000 E020.34.43.000
N058.18.16.000 E020.34.43.000 N057.16.02.820 E019.59.21.012
N057.16.02.820 E019.59.21.012 N057.12.15.480 E018.21.51.480
N057.12.15.480 E018.21.51.480 N057.11.43.800 E018.20.01.680
N057.11.43.800 E018.20.01.680 N057.04.14.880 E017.28.15.960
N057.04.14.880 E017.28.15.960 N056.31.12.000 E016.27.42.840
N056.31.12.000 E016.27.42.840 N056.21.42.120 E016.12.04.680
N056.21.42.120 E016.12.04.680 N056.17.04.560 E016.00.07.560
N056.17.04.560 E016.00.07.560 N056.12.05.760 E015.22.31.800
N056.12.05.760 E015.22.31.800 N056.12.36.000 E015.04.24.240
N056.12.36.000 E015.04.24.240 N056.22.26.760 E015.04.13.440
N056.22.26.760 E015.04.13.440 N056.24.43.200 E015.03.56.880
N056.24.43.200 E015.03.56.880 N056.30.55.800 E014.31.30.360
N056.30.55.800 E014.31.30.360 N057.04.18.120 E014.19.12.000
N057.04.18.120 E014.19.12.000 N057.08.02.040 E014.22.27.480
N057.08.02.040 E014.22.27.480 N057.15.18.360 E014.03.42.840
N057.15.18.360 E014.03.42.840 N057.18.21.240 E013.25.15.240
N057.18.21.240 E013.25.15.240 N057.19.16.320 E013.21.45.360
N057.19.16.320 E013.21.45.360 N058.01.12.720 E013.34.49.440
N058.01.12.720 E013.34.49.440 N058.08.36.600 E014.05.42.000
N058.08.36.600 E014.05.42.000 N058.16.22.800 E014.06.41.400
N058.16.22.800 E014.06.41.400 N058.22.49.800 E014.09.38.160
N058.22.49.800 E014.09.38.160 N058.28.17.760 E014.12.07.920
N058.28.17.760 E014.12.07.920 N058.32.30.120 E014.22.16.680
N058.32.30.120 E014.22.16.680 N059.10.32.160 E013.24.45.360
N059.10.32.160 E013.24.45.360 N059.18.16.200 E013.06.05.760
N059.18.16.200 E013.06.05.760 N059.27.48.240 E013.15.11.520
N059.27.48.240 E013.15.11.520 N059.53.36.381 E012.10.23.610
N059.53.36.381 E012.10.23.610 N059.58.58.451 E012.23.55.029
N059.58.58.451 E012.23.55.029 N060.08.58.481 E012.32.55.022
N060.08.58.481 E012.32.55.022 N060.16.58.491 E012.31.54.999
N060.16.58.491 E012.31.54.999 N060.23.58.521 E012.36.55.001
N060.23.58.521 E012.36.55.001 N060.27.58.529 E012.37.54.992
N060.27.58.529 E012.37.54.992 N060.37.25.176 E012.30.12.000
N060.37.25.176 E012.30.12.000 N061.02.58.611 E012.40.54.902
N061.02.58.611 E012.40.54.902 N061.11.58.640 E012.46.54.891
N061.11.58.640 E012.46.54.891 N061.21.58.659 E012.51.54.872
N061.21.58.659 E012.51.54.872 N061.33.58.680 E012.33.54.789
N061.33.58.680 E012.33.54.789 N062.00.00.000 E012.13.11.000
N062.00.00.000 E012.13.11.000 N062.15.59.001 E012.17.56.001
N062.15.59.001 E012.17.56.001 N062.36.42.902 E012.03.22.101
N062.36.42.902 E012.03.22.101 N062.39.05.001 E012.04.46.000
N062.39.05.001 E012.04.46.000 N062.44.52.502 E012.08.11.001
N062.44.52.502 E012.08.11.001 N062.54.09.202 E012.04.28.899
N062.54.09.202 E012.04.28.899 N063.00.01.073 E012.13.06.100
N063.00.01.073 E012.13.06.100 N063.08.28.000 E012.05.26.999
N063.08.28.000 E012.05.26.999 N063.11.06.652 E012.03.03.219
N063.11.06.652 E012.03.03.219 N063.16.09.002 E011.58.28.000
N063.16.09.002 E011.58.28.000 N063.26.26.999 E012.10.21.000
N063.26.26.999 E012.10.21.000 N063.28.42.824 E012.12.46.491
N063.28.42.824 E012.12.46.491 N063.35.38.001 E012.09.01.001
N063.35.38.001 E012.09.01.001 N063.37.52.263 E012.13.40.264
N063.37.52.263 E012.13.40.264 N063.40.19.337 E012.17.58.190
N063.40.19.337 E012.17.58.190 N063.42.53.799 E012.19.49.372
N063.42.53.799 E012.19.49.372 N063.48.25.283 E012.27.48.482
N063.48.25.283 E012.27.48.482 N063.53.32.532 E012.34.38.169
N063.53.32.532 E012.34.38.169 N063.58.27.210 E012.41.00.564
N063.58.27.210 E012.41.00.564 N064.03.28.606 E012.55.36.023
N064.03.28.606 E012.55.36.023 N064.05.43.502 E013.12.39.741
N064.05.43.502 E013.12.39.741 N064.04.47.000 E013.22.34.000
N064.04.47.000 E013.22.34.000 N064.33.20.002 E013.44.03.002
N064.33.20.002 E013.44.03.002 N064.34.49.073 E013.39.15.365
N064.34.49.073 E013.39.15.365 N064.38.23.406 E013.42.19.491
N064.38.23.406 E013.42.19.491 N064.42.32.883 E013.47.29.624
N064.42.32.883 E013.47.29.624 N064.50.33.000 E013.57.24.002
N064.50.33.000 E013.57.24.002 N064.57.04.000 E014.05.37.000
N064.57.04.000 E014.05.37.000 N065.07.08.102 E014.19.33.500
N065.07.08.102 E014.19.33.500 N065.14.51.400 E014.22.43.702
N065.14.51.400 E014.22.43.702 N065.18.35.000 E014.30.24.599
N065.18.35.000 E014.30.24.599 N065.30.56.099 E014.29.56.102
N065.30.56.099 E014.29.56.102 N065.42.01.876 E014.32.28.929
N065.42.01.876 E014.32.28.929 N065.45.00.000 E014.34.42.000
N065.45.00.000 E014.34.42.000 N065.48.42.570 E014.37.31.584
N065.48.42.570 E014.37.31.584 N065.54.04.724 E014.35.04.143
N065.54.04.724 E014.35.04.143 N065.57.29.524 E014.34.23.110
N065.57.29.524 E014.34.23.110 N066.00.43.078 E014.33.15.887
N066.00.43.078 E014.33.15.887 N066.02.27.870 E014.32.43.869
N066.02.27.870 E014.32.43.869 N066.07.57.353 E014.30.58.252
N066.07.57.353 E014.30.58.252 N066.09.12.838 E015.02.07.973
N066.09.12.838 E015.02.07.973 N068.04.33.406 E017.29.25.455
N068.04.33.406 E017.29.25.455 N068.02.16.523 E017.40.00.876
N068.02.16.523 E017.40.00.876 N067.58.09.639 E017.53.59.309
N067.58.09.639 E017.53.59.309 N068.11.55.623 E018.09.04.857
N068.11.55.623 E018.09.04.857 N068.24.21.618 E018.06.03.813
N068.24.21.618 E018.06.03.813 N068.32.11.188 E018.07.33.302
N068.32.11.188 E018.07.33.302 N068.34.54.862 E018.24.20.726
N068.34.54.862 E018.24.20.726 N068.33.25.330 E018.29.01.558
N068.33.25.330 E018.29.01.558 N068.32.01.248 E018.32.59.727
N068.32.01.248 E018.32.59.727 N068.30.24.866 E018.37.16.349
N068.30.24.866 E018.37.16.349 N068.30.51.002 E019.00.00.000
N068.30.51.002 E019.00.00.000 N068.21.21.672 E019.55.17.022
N068.21.21.672 E019.55.17.022 N068.23.24.692 E019.58.53.350
N068.23.24.692 E019.58.53.350 N068.26.33.850 E020.06.29.556
N068.26.33.850 E020.06.29.556 N068.29.26.880 E020.13.34.947
N068.29.26.880 E020.13.34.947 N068.31.50.880 E020.01.33.492
N068.31.50.880 E020.01.33.492 N068.33.28.512 E019.56.15.015
N068.33.28.512 E019.56.15.015 N068.35.27.971 E020.03.08.241
N068.35.27.971 E020.03.08.241 N068.39.57.233 E020.12.09.969
N068.39.57.233 E020.12.09.969 N068.48.08.302 E020.20.09.100
N068.48.08.302 E020.20.09.100 N068.55.34.299 E020.18.23.699
N068.55.34.299 E020.18.23.699 N068.57.15.300 E020.14.30.902
N068.57.15.300 E020.14.30.902 N069.02.44.700 E020.03.36.202
N069.02.44.700 E020.03.36.202 N069.03.36.000 E020.32.55.000
