N056.05.43.001 E018.01.07.000 N056.20.43.001 E018.30.23.001
N056.20.43.001 E018.30.23.001 N056.17.52.001 E018.53.54.000
N056.17.52.001 E018.53.54.000 N056.08.46.000 E020.04.56.000
N056.08.46.000 E020.04.56.000 N056.04.00.002 E020.40.00.002
N056.04.00.002 E020.40.00.002 N056.04.02.000 E020.44.52.001
N056.04.02.000 E020.44.52.001 N056.04.09.002 E021.03.52.000
N056.04.09.002 E021.03.52.000 N056.04.26.001 E021.05.37.000
N056.04.26.001 E021.05.37.000 N056.10.47.000 E021.16.45.002
N056.10.47.000 E021.16.45.002 N056.17.39.002 E021.32.07.001
N056.17.39.002 E021.32.07.001 N056.25.35.490 E022.08.31.510
N056.25.35.490 E022.08.31.510 N056.20.47.789 E023.10.36.070
N056.20.47.789 E023.10.36.070 N056.22.16.000 E023.12.22.000
N056.22.16.000 E023.12.22.000 N056.22.20.000 E023.15.37.001
N056.22.20.000 E023.15.37.001 N056.18.49.000 E023.30.26.320
N056.18.49.000 E023.30.26.320 N056.22.17.001 E023.45.20.002
N056.22.17.001 E023.45.20.002 N056.16.43.000 E024.03.55.001
N056.16.43.000 E024.03.55.001 N056.15.44.212 E024.28.07.140
N056.15.44.212 E024.28.07.140 N056.22.08.001 E024.37.49.001
N056.22.08.001 E024.37.49.001 N056.26.45.590 E024.53.15.890
N056.26.45.590 E024.53.15.890 N056.10.24.330 E025.08.18.060
N056.10.24.330 E025.08.18.060 N055.59.08.002 E025.56.51.000
N055.59.08.002 E025.56.51.000 N055.40.50.002 E026.37.50.002
N055.40.50.002 E026.37.50.002 N055.36.24.120 E026.38.49.640
N055.36.24.120 E026.38.49.640 N055.26.58.960 E026.33.17.550
N055.26.58.960 E026.33.17.550 N055.22.34.940 E026.30.26.349
N055.22.34.940 E026.30.26.349 N055.21.26.871 E026.27.47.531
N055.21.26.871 E026.27.47.531 N055.19.06.611 E026.27.31.022
N055.19.06.611 E026.27.31.022 N055.17.58.539 E026.31.50.920
N055.17.58.539 E026.31.50.920 N055.18.06.790 E026.48.35.432
N055.18.06.790 E026.48.35.432 N055.17.46.169 E026.51.06.002
N055.17.46.169 E026.51.06.002 N055.15.52.719 E026.51.22.500
N055.15.52.719 E026.51.22.500 N055.12.01.700 E026.43.15.719
N055.12.01.700 E026.43.15.719 N055.08.33.382 E026.40.08.019
N055.08.33.382 E026.40.08.019 N055.07.25.310 E026.30.32.541
N055.07.25.310 E026.30.32.541 N055.06.04.871 E026.27.04.209
N055.06.04.871 E026.27.04.209 N055.07.56.252 E026.19.57.242
N055.07.56.252 E026.19.57.242 N055.08.16.880 E026.16.20.669
N055.08.16.880 E026.16.20.669 N055.05.33.929 E026.14.06.591
N055.05.33.929 E026.14.06.591 N055.02.42.731 E026.14.29.282
N055.02.42.731 E026.14.29.282 N055.00.00.000 E026.13.00.002
N055.00.00.000 E026.13.00.002 N054.57.54.879 E026.08.37.770
N054.57.54.879 E026.08.37.770 N054.52.52.810 E025.51.17.000
N054.52.52.810 E025.51.17.000 N054.47.11.130 E025.46.14.402
N054.47.11.130 E025.46.14.402 N054.37.33.712 E025.44.16.350
N054.37.33.712 E025.44.16.350 N054.33.21.230 E025.43.43.209
N054.33.21.230 E025.43.43.209 N054.29.24.022 E025.41.08.510
N054.29.24.022 E025.41.08.510 N054.19.44.411 E025.35.05.489
N054.19.44.411 E025.35.05.489 N054.18.17.781 E025.35.42.620
N054.18.17.781 E025.35.42.620 N054.17.00.000 E025.43.00.002
N054.17.00.000 E025.43.00.002 N054.14.43.271 E025.46.44.721
N054.14.43.271 E025.46.44.721 N054.10.00.002 E025.47.00.000
N054.10.00.002 E025.47.00.000 N054.08.09.302 E025.42.55.772
N054.08.09.302 E025.42.55.772 N054.09.19.430 E025.34.18.041
N054.09.19.430 E025.34.18.041 N054.10.52.252 E025.35.07.552
N054.10.52.252 E025.35.07.552 N054.15.12.150 E025.32.34.919
N054.15.12.150 E025.32.34.919 N054.15.59.591 E025.27.23.451
N054.15.59.591 E025.27.23.451 N054.15.05.962 E025.19.10.481
N054.15.05.962 E025.19.10.481 N054.12.16.820 E025.13.52.832
N054.12.16.820 E025.13.52.832 N054.10.44.001 E025.10.32.762
N054.10.44.001 E025.10.32.762 N054.08.00.000 E025.03.00.000
N054.08.00.000 E025.03.00.000 N054.03.57.662 E024.48.24.412
N054.03.57.662 E024.48.24.412 N053.58.17.321 E024.48.12.032
N053.58.17.321 E024.48.12.032 N053.56.52.761 E024.44.47.829
N053.56.52.761 E024.44.47.829 N053.59.41.889 E024.39.26.061
N053.59.41.889 E024.39.26.061 N053.56.15.630 E024.31.15.150
N053.56.15.630 E024.31.15.150 N053.53.28.551 E024.24.41.181
N053.53.28.551 E024.24.41.181 N053.54.11.870 E024.17.21.840
N053.54.11.870 E024.17.21.840 N053.56.21.812 E024.11.45.629
N053.56.21.812 E024.11.45.629 N053.55.44.692 E023.55.38.252
N053.55.44.692 E023.55.38.252 N053.54.00.000 E023.48.00.000
N053.54.00.000 E023.48.00.000 N053.54.32.490 E023.37.06.482
N053.54.32.490 E023.37.06.482 N053.56.00.000 E023.31.00.002
N053.56.00.000 E023.31.00.002 N053.59.00.000 E023.28.00.002
N053.59.00.000 E023.28.00.002 N054.01.00.002 E023.30.00.000
N054.01.00.002 E023.30.00.000 N054.02.00.000 E023.31.00.002
N054.02.00.000 E023.31.00.002 N054.08.00.000 E023.30.00.000
N054.08.00.000 E023.30.00.000 N054.09.00.000 E023.28.00.002
N054.09.00.000 E023.28.00.002 N054.10.00.002 E023.25.00.002
N054.10.00.002 E023.25.00.002 N054.13.00.002 E023.22.00.002
N054.13.00.002 E023.22.00.002 N054.15.00.000 E023.14.00.000
N054.15.00.000 E023.14.00.000 N054.17.00.000 E023.12.00.000
N054.17.00.000 E023.12.00.000 N054.18.00.000 E023.10.00.002
N054.18.00.000 E023.10.00.002 N054.18.00.000 E023.06.00.000
N054.18.00.000 E023.06.00.000 N054.19.00.002 E023.02.00.000
N054.19.00.002 E023.02.00.000 N054.21.00.000 E023.04.00.002
N054.21.00.000 E023.04.00.002 N054.21.00.000 E023.00.00.000
N054.21.00.000 E023.00.00.000 N054.23.00.000 E023.00.00.000
N054.23.00.000 E023.00.00.000 N054.23.00.000 E022.57.00.000
N054.23.00.000 E022.57.00.000 N054.25.00.002 E022.51.00.000
N054.25.00.002 E022.51.00.000 N054.24.08.561 E022.47.53.290
N054.24.08.561 E022.47.53.290 N054.24.05.512 E022.45.26.140
N054.24.05.512 E022.45.26.140 N054.26.50.720 E022.43.49.210
N054.26.50.720 E022.43.49.210 N054.29.56.260 E022.41.40.229
N054.29.56.260 E022.41.40.229 N054.32.15.242 E022.41.23.709
N054.32.15.242 E022.41.23.709 N054.34.13.250 E022.42.24.660
N054.34.13.250 E022.42.24.660 N054.36.12.381 E022.41.51.411
N054.36.12.381 E022.41.51.411 N054.38.26.060 E022.45.05.141
N054.38.26.060 E022.45.05.141 N054.39.29.531 E022.45.03.482
N054.39.29.531 E022.45.03.482 N054.42.33.801 E022.43.57.692
N054.42.33.801 E022.43.57.692 N054.44.26.819 E022.46.19.229
N054.44.26.819 E022.46.19.229 N054.46.27.480 E022.51.06.930
N054.46.27.480 E022.51.06.930 N054.47.50.550 E022.52.51.791
N054.47.50.550 E022.52.51.791 N054.50.22.560 E022.52.15.899
N054.50.22.560 E022.52.15.899 N054.52.03.962 E022.50.57.020
N054.52.03.962 E022.50.57.020 N054.54.09.659 E022.50.44.362
N054.54.09.659 E022.50.44.362 N054.54.40.382 E022.47.42.872
N054.54.40.382 E022.47.42.872 N054.56.31.510 E022.46.01.409
N054.56.31.510 E022.46.01.409 N054.59.27.849 E022.41.00.932
N054.59.27.849 E022.41.00.932 N055.01.12.850 E022.36.44.860
N055.01.12.850 E022.36.44.860 N055.04.18.531 E022.34.51.230
N055.04.18.531 E022.34.51.230 N055.02.52.361 E022.28.08.649
N055.02.52.361 E022.28.08.649 N055.03.23.980 E022.25.10.042
N055.03.23.980 E022.25.10.042 N055.03.48.831 E022.13.56.360
