N054.27.30.000 E019.38.30.002 N054.36.12.000 E019.24.24.002
N054.36.12.000 E019.24.24.002 N055.51.00.000 E017.33.00.000
N055.51.00.000 E017.33.00.000 N056.05.43.001 E018.01.07.000
N056.05.43.001 E018.01.07.000 N055.22.24.000 E020.38.36.000
N055.22.24.000 E020.38.36.000 N055.16.54.002 E020.57.24.002
N055.16.54.002 E020.57.24.002 N055.14.44.520 E021.16.35.361
N055.14.44.520 E021.16.35.361 N055.17.05.190 E021.21.15.380
N055.17.05.190 E021.21.15.380 N055.17.26.452 E021.23.19.101
N055.17.26.452 E021.23.19.101 N055.15.10.120 E021.26.03.081
N055.15.10.120 E021.26.03.081 N055.13.51.640 E021.26.44.099
N055.13.51.640 E021.26.44.099 N055.12.35.471 E021.28.58.001
N055.12.35.471 E021.28.58.001 N055.11.40.161 E021.30.07.492
N055.11.40.161 E021.30.07.492 N055.11.21.261 E021.31.17.771
N055.11.21.261 E021.31.17.771 N055.11.55.389 E021.34.31.350
N055.11.55.389 E021.34.31.350 N055.11.16.401 E021.37.38.500
N055.11.16.401 E021.37.38.500 N055.07.40.599 E021.44.55.130
N055.07.40.599 E021.44.55.130 N055.07.12.051 E021.49.17.642
N055.07.12.051 E021.49.17.642 N055.05.55.230 E021.50.59.972
N055.05.55.230 E021.50.59.972 N055.04.32.319 E021.57.07.431
N055.04.32.319 E021.57.07.431 N055.05.07.880 E022.02.04.341
N055.05.07.880 E022.02.04.341 N055.03.42.030 E022.02.13.560
N055.03.42.030 E022.02.13.560 N055.01.34.281 E022.04.15.759
N055.01.34.281 E022.04.15.759 N055.02.13.809 E022.07.52.731
N055.02.13.809 E022.07.52.731 N055.03.01.829 E022.08.30.160
N055.03.01.829 E022.08.30.160 N055.03.48.831 E022.13.56.360
N055.03.48.831 E022.13.56.360 N055.03.23.980 E022.25.10.042
N055.03.23.980 E022.25.10.042 N055.02.52.361 E022.28.08.649
N055.02.52.361 E022.28.08.649 N055.04.18.531 E022.34.51.230
N055.04.18.531 E022.34.51.230 N055.01.12.850 E022.36.44.860
N055.01.12.850 E022.36.44.860 N054.59.27.849 E022.41.00.932
N054.59.27.849 E022.41.00.932 N054.56.31.510 E022.46.01.409
N054.56.31.510 E022.46.01.409 N054.54.40.382 E022.47.42.872
N054.54.40.382 E022.47.42.872 N054.54.09.659 E022.50.44.362
N054.54.09.659 E022.50.44.362 N054.52.03.962 E022.50.57.020
N054.52.03.962 E022.50.57.020 N054.50.22.560 E022.52.15.899
N054.50.22.560 E022.52.15.899 N054.47.50.550 E022.52.51.791
N054.47.50.550 E022.52.51.791 N054.46.27.480 E022.51.06.930
N054.46.27.480 E022.51.06.930 N054.44.26.819 E022.46.19.229
N054.44.26.819 E022.46.19.229 N054.42.33.801 E022.43.57.692
N054.42.33.801 E022.43.57.692 N054.39.29.531 E022.45.03.482
N054.39.29.531 E022.45.03.482 N054.38.26.060 E022.45.05.141
N054.38.26.060 E022.45.05.141 N054.36.12.381 E022.41.51.411
N054.36.12.381 E022.41.51.411 N054.34.13.250 E022.42.24.660
N054.34.13.250 E022.42.24.660 N054.32.15.242 E022.41.23.709
N054.32.15.242 E022.41.23.709 N054.29.56.260 E022.41.40.229
N054.29.56.260 E022.41.40.229 N054.26.50.720 E022.43.49.210
N054.26.50.720 E022.43.49.210 N054.24.05.512 E022.45.26.140
N054.24.05.512 E022.45.26.140 N054.24.08.561 E022.47.53.290
N054.24.08.561 E022.47.53.290 N054.23.37.371 E022.48.59.850
N054.23.37.371 E022.48.59.850 N054.21.54.911 E022.47.16.052
N054.21.54.911 E022.47.16.052 N054.21.33.880 E022.37.52.749
N054.21.33.880 E022.37.52.749 N054.20.44.679 E022.15.16.751
N054.20.44.679 E022.15.16.751 N054.19.35.300 E021.46.01.859
N054.19.35.300 E021.46.01.859 N054.19.00.002 E021.28.00.002
N054.19.00.002 E021.28.00.002 N054.20.06.710 E021.12.19.250
N054.20.06.710 E021.12.19.250 N054.21.49.040 E020.52.19.060
N054.21.49.040 E020.52.19.060 N054.23.21.689 E020.32.13.600
N054.23.21.689 E020.32.13.600 N054.24.05.490 E020.23.13.031
N054.24.05.490 E020.23.13.031 N054.24.47.600 E020.13.11.741
N054.24.47.600 E020.13.11.741 N054.25.17.919 E020.07.24.842
N054.25.17.919 E020.07.24.842 N054.26.20.249 E019.53.38.062
N054.26.20.249 E019.53.38.062 N054.27.17.522 E019.41.41.162
N054.27.17.522 E019.41.41.162 N054.27.30.000 E019.38.30.002
