EYKA-A                          N055.08.31.000 E023.34.49.000 N055.11.01.000 E024.24.44.000
                                N055.11.01.000 E024.24.44.000 N055.10.41.337 E024.25.23.592
                                N055.10.41.337 E024.25.23.592 N055.10.20.433 E024.26.01.187
                                N055.10.20.433 E024.26.01.187 N055.09.58.935 E024.26.37.738
                                N055.09.58.935 E024.26.37.738 N055.09.36.859 E024.27.13.217
                                N055.09.36.859 E024.27.13.217 N055.09.14.222 E024.27.47.597
                                N055.09.14.222 E024.27.47.597 N055.08.51.043 E024.28.20.851
                                N055.08.51.043 E024.28.20.851 N055.08.27.340 E024.28.52.954
                                N055.08.27.340 E024.28.52.954 N055.08.03.132 E024.29.23.880
                                N055.08.03.132 E024.29.23.880 N055.07.38.437 E024.29.53.607
                                N055.07.38.437 E024.29.53.607 N055.07.13.275 E024.30.22.111
                                N055.07.13.275 E024.30.22.111 N055.06.47.666 E024.30.49.371
                                N055.06.47.666 E024.30.49.371 N055.06.21.630 E024.31.15.365
                                N055.06.21.630 E024.31.15.365 N055.05.55.187 E024.31.40.075
                                N055.05.55.187 E024.31.40.075 N055.05.28.359 E024.32.03.481
                                N055.05.28.359 E024.32.03.481 N055.05.01.165 E024.32.25.565
                                N055.05.01.165 E024.32.25.565 N055.04.33.628 E024.32.46.312
                                N055.04.33.628 E024.32.46.312 N055.04.05.770 E024.33.05.706
                                N055.04.05.770 E024.33.05.706 N055.03.37.611 E024.33.23.732
                                N055.03.37.611 E024.33.23.732 N055.03.09.174 E024.33.40.377
                                N055.03.09.174 E024.33.40.377 N055.02.40.481 E024.33.55.629
                                N055.02.40.481 E024.33.55.629 N055.02.11.555 E024.34.09.476
                                N055.02.11.555 E024.34.09.476 N055.01.42.418 E024.34.21.910
                                N055.01.42.418 E024.34.21.910 N055.01.13.093 E024.34.32.920
                                N055.01.13.093 E024.34.32.920 N055.00.43.602 E024.34.42.500
                                N055.00.43.602 E024.34.42.500 N055.00.13.970 E024.34.50.642
                                N055.00.13.970 E024.34.50.642 N054.59.44.219 E024.34.57.341
                                N054.59.44.219 E024.34.57.341 N054.59.14.372 E024.35.02.593
                                N054.59.14.372 E024.35.02.593 N054.58.44.452 E024.35.06.395
                                N054.58.44.452 E024.35.06.395 N054.58.14.482 E024.35.08.744
                                N054.58.14.482 E024.35.08.744 N054.57.44.487 E024.35.09.639
                                N054.57.44.487 E024.35.09.639 N054.57.14.489 E024.35.09.082
                                N054.57.14.489 E024.35.09.082 N054.56.44.512 E024.35.07.073
                                N054.56.44.512 E024.35.07.073 N054.56.14.578 E024.35.03.614
                                N054.56.14.578 E024.35.03.614 N054.55.44.711 E024.34.58.710
                                N054.55.44.711 E024.34.58.710 N054.55.14.935 E024.34.52.364
                                N054.55.14.935 E024.34.52.364 N054.54.45.271 E024.34.44.584
                                N054.54.45.271 E024.34.44.584 N054.54.15.744 E024.34.35.375
                                N054.54.15.744 E024.34.35.375 N054.53.46.376 E024.34.24.745
                                N054.53.46.376 E024.34.24.745 N054.53.17.190 E024.34.12.704
                                N054.53.17.190 E024.34.12.704 N054.52.48.208 E024.33.59.262
                                N054.52.48.208 E024.33.59.262 N054.52.19.453 E024.33.44.430
                                N054.52.19.453 E024.33.44.430 N054.51.50.946 E024.33.28.220
                                N054.51.50.946 E024.33.28.220 N054.51.22.711 E024.33.10.646
                                N054.51.22.711 E024.33.10.646 N054.50.54.768 E024.32.51.722
                                N054.50.54.768 E024.32.51.722 N054.50.27.140 E024.32.31.463
                                N054.50.27.140 E024.32.31.463 N054.49.59.846 E024.32.09.886
                                N054.49.59.846 E024.32.09.886 N054.49.32.910 E024.31.47.007
                                N054.49.32.910 E024.31.47.007 N054.49.06.350 E024.31.22.847
                                N054.49.06.350 E024.31.22.847 N054.48.40.188 E024.30.57.422
                                N054.48.40.188 E024.30.57.422 N054.48.14.000 E024.30.32.000
                                N054.48.14.000 E024.30.32.000 N054.45.32.000 E023.36.24.000
                                N054.45.32.000 E023.36.24.000 N054.45.55.100 E023.35.54.156
                                N054.45.55.100 E023.35.54.156 N054.46.18.621 E023.35.25.307
                                N054.46.18.621 E023.35.25.307 N054.46.42.534 E023.34.57.434
                                N054.46.42.534 E023.34.57.434 N054.47.06.826 E023.34.30.556
                                N054.47.06.826 E023.34.30.556 N054.47.31.483 E023.34.04.688
                                N054.47.31.483 E023.34.04.688 N054.47.56.491 E023.33.39.844
                                N054.47.56.491 E023.33.39.844 N054.48.21.835 E023.33.16.041
                                N054.48.21.835 E023.33.16.041 N054.48.47.502 E023.32.53.291
                                N054.48.47.502 E023.32.53.291 N054.49.13.476 E023.32.31.609
                                N054.49.13.476 E023.32.31.609 N054.49.39.743 E023.32.11.007
                                N054.49.39.743 E023.32.11.007 N054.50.06.287 E023.31.51.499
